dataset_1,dataset_2,dataset,model,time (sec),precision,recall,f1,good_behavior_response_rate,examples,total_matches,weights_extracted_from
tmdb,tvdb,D7,qwen2.5-tf-p1,553.5284538269043,54.4151376146789,91.69082125603865,68.29794890248291,1.0,join_examples_dict_1,1744,distilroberta
tmdb,tvdb,D7,qwen2.5-tf-p2,553.6756701469421,55.27666856816885,93.6231884057971,69.51219512195121,1.0,join_examples_dict_1,1753,TopKJoin
tmdb,tvdb,D7,qwen2.5-tf-p2,553.6754262447357,54.61318051575931,92.07729468599034,68.56115107913669,1.0,join_examples_dict_1,1745,distilroberta
tmdb,tvdb,D7,llama3.1-ft-p1,579.7865023612976,48.10945273631841,93.42995169082126,63.513957307060764,0.9942754919499106,join_examples_dict_1,2010,TopKJoin
tmdb,tvdb,D7,llama3.1-ft-p1,579.7871606349945,49.246753246753244,91.59420289855072,64.05405405405405,0.9942754919499106,join_examples_dict_1,1925,distilroberta
tmdb,tvdb,D7,llama3.1-ft-p2,570.5702204704285,43.44552701505757,94.78260869565217,59.58092924385059,0.9980322003577816,join_examples_dict_1,2258,TopKJoin
tmdb,tvdb,D7,llama3.1-ft-p2,570.5686337947845,44.14331649058337,92.85024154589372,59.83810709838108,0.9980322003577816,join_examples_dict_1,2177,distilroberta
tmdb,tvdb,D7,llama3.1-tf-p1,566.1236748695374,44.797819173103136,95.26570048309179,60.93943139678616,1.0,join_examples_dict_1,2201,TopKJoin
tmdb,tvdb,D7,llama3.1-tf-p1,566.1225929260254,45.309568480300186,93.33333333333333,61.004104831070414,1.0,join_examples_dict_1,2132,distilroberta
tmdb,tvdb,D7,llama3.1-tf-p2,566.6241793632507,42.59740259740259,95.07246376811594,58.83408071748878,0.9996422182468694,join_examples_dict_1,2310,TopKJoin
tmdb,tvdb,D7,llama3.1-tf-p2,566.6235132217407,42.86983562860951,93.23671497584542,58.73402312842361,0.9996422182468694,join_examples_dict_1,2251,distilroberta
tmdb,tvdb,D7,orca2-ft-p1,430.0144407749176,55.91549295774648,76.71497584541062,64.68431771894093,1.0,join_examples_dict_1,1420,TopKJoin
tmdb,tvdb,D7,orca2-ft-p1,430.01346373558044,57.692307692307686,75.36231884057972,65.35400083787181,1.0,join_examples_dict_1,1352,distilroberta
tmdb,tvdb,D7,orca2-ft-p2,425.2849719524383,54.26791277258567,84.15458937198068,65.98484848484848,0.9992844364937388,join_examples_dict_1,1605,TopKJoin
tmdb,tvdb,D7,orca2-ft-p2,425.2841937541961,55.54115359688918,82.80193236714976,66.48564778898371,0.9992844364937388,join_examples_dict_1,1543,distilroberta
tmdb,tvdb,D7,orca2-tf-p1,426.17627024650574,53.14207650273224,75.16908212560386,62.26490596238495,0.9998211091234348,join_examples_dict_1,1464,TopKJoin
tmdb,tvdb,D7,orca2-tf-p1,426.175009727478,54.82014388489208,73.62318840579711,62.84536082474227,0.9998211091234348,join_examples_dict_1,1390,distilroberta
tmdb,tvdb,D7,orca2-tf-p2,422.6903917789459,52.12378640776699,82.99516908212561,64.03279910547893,1.0,join_examples_dict_1,1648,TopKJoin
tmdb,tvdb,D7,orca2-tf-p2,422.6895389556885,54.166666666666664,81.64251207729468,65.1252408477842,1.0,join_examples_dict_1,1560,distilroberta
tmdb,tvdb,D7,openhermes-ft-p1,435.4153842926026,51.13390928725702,91.4975845410628,65.60443366816764,1.0,join_examples_dict_1,1852,TopKJoin
tmdb,tvdb,D7,openhermes-ft-p1,435.41508007049566,50.84284937466014,90.33816425120773,65.06610995128742,1.0,join_examples_dict_1,1839,distilroberta
tmdb,tvdb,D7,openhermes-ft-p2,430.61775112152094,50.62195781503516,90.43478260869566,64.90984743411929,1.0,join_examples_dict_1,1849,TopKJoin
tmdb,tvdb,D7,openhermes-ft-p2,430.617602109909,50.135501355013545,89.3719806763285,64.2361111111111,1.0,join_examples_dict_1,1845,distilroberta
tmdb,tvdb,D7,openhermes-tf-p1,431.8049364089966,51.411509229098804,91.4975845410628,65.83246437261036,1.0,join_examples_dict_1,1842,TopKJoin
tmdb,tvdb,D7,openhermes-tf-p1,431.80457878112793,51.069665386725184,89.95169082125604,65.15045486354094,1.0,join_examples_dict_1,1823,distilroberta
tmdb,tvdb,D7,openhermes-tf-p2,431.3139290809632,51.5881708652793,91.01449275362319,65.8511010136316,1.0,join_examples_dict_1,1826,TopKJoin
tmdb,tvdb,D7,openhermes-tf-p2,431.3134078979493,52.054023635340464,89.3719806763285,65.78947368421052,1.0,join_examples_dict_1,1777,distilroberta
tmdb,tvdb,D7,zephyr-ft-p1,803.0036342144012,54.60992907801418,22.318840579710145,31.68724279835391,0.6479427549194992,join_examples_dict_1,423,TopKJoin
tmdb,tvdb,D7,zephyr-ft-p1,803.0035932064056,54.24528301886793,22.22222222222222,31.528444139821797,0.6479427549194992,join_examples_dict_1,424,distilroberta
